simulation_idx,step_idx,mse,scale
3,88,3.2448235288029537e-05,1
3,89,3.3885047741932794e-05,1
3,90,3.44181498803664e-05,1
3,91,3.527423905325122e-05,1
3,92,3.608790575526655e-05,1
3,93,3.581806959118694e-05,1
3,94,3.534111237968318e-05,1
3,95,3.5321270843269303e-05,1
3,96,3.5278175346320495e-05,1
3,97,3.603148434194736e-05,1
3,98,3.6044366424903274e-05,1
3,99,3.616495450842194e-05,1
4,0,1.1442959475971293e-05,1
4,1,1.0972611562465318e-05,1
4,2,1.0944427231152076e-05,1
4,3,1.0923917216132395e-05,1
4,4,1.0811335414473433e-05,1
4,5,1.1098037248302717e-05,1
4,6,1.1146758879476693e-05,1
4,7,1.1446091775724199e-05,1
4,8,1.1729325706255622e-05,1
4,9,1.155457448476227e-05,1
4,10,1.2006351425952744e-05,1
4,11,1.2594681720656808e-05,1
4,12,1.258101110579446e-05,1
4,13,1.2764132407028228e-05,1
4,14,1.3716103239858057e-05,1
4,15,1.4621028640249278e-05,1
4,16,1.5065367733768653e-05,1
4,17,1.559169868414756e-05,1
4,18,1.5988047380233184e-05,1
4,19,1.6436415535281412e-05,1
4,20,1.6851863620104268e-05,1
4,21,1.7922564438777044e-05,1
4,22,1.8300657757208683e-05,1
4,23,1.895993591460865e-05,1
4,24,1.987324321817141e-05,1
4,25,2.0186800611554645e-05,1
4,26,2.1159194147912785e-05,1
4,27,2.1756964997621253e-05,1
4,28,2.2769387214793824e-05,1
4,29,2.3231921659316868e-05,1
4,30,2.3504198907176033e-05,1
4,31,2.4120299713104032e-05,1
4,32,2.4217224563471973e-05,1
4,33,2.4567052605561912e-05,1
4,34,2.500294431229122e-05,1
4,35,2.551226680225227e-05,1
4,36,2.5662860934971832e-05,1
4,37,2.5953306248993613e-05,1
4,38,2.711682827793993e-05,1
4,39,2.6819869162864052e-05,1
4,40,2.717708412092179e-05,1
4,41,2.8219190426170826e-05,1
4,42,2.868227420549374e-05,1
4,43,2.838427280948963e-05,1
4,44,2.7637679522740655e-05,1
4,45,2.9120274120941758e-05,1
4,46,3.0201472327462398e-05,1
4,47,3.0385284844669513e-05,1
4,48,3.006340739375446e-05,1
4,49,3.066728822886944e-05,1
4,50,3.133161226287484e-05,1
4,51,3.1841551390243694e-05,1
4,52,3.256534910178743e-05,1
4,53,3.255958290537819e-05,1
4,54,3.237167402403429e-05,1
4,55,3.259797813370824e-05,1
4,56,3.377223765710369e-05,1
4,57,3.489839946269058e-05,1
4,58,3.658645073301159e-05,1
4,59,3.731455217348412e-05,1
4,60,3.9662696508457884e-05,1
4,61,4.1774903365876526e-05,1
4,62,4.338539656600915e-05,1
4,63,4.552864993456751e-05,1
4,64,4.757638453156687e-05,1
4,65,4.9129099352285266e-05,1
4,66,4.9509424570715055e-05,1
4,67,5.079319453216158e-05,1
4,68,5.1396909839240834e-05,1
4,69,5.1463630370562896e-05,1
4,70,5.1084545702906325e-05,1
4,71,5.152081939741038e-05,1
4,72,5.20731664437335e-05,1
4,73,5.298017640598118e-05,1
4,74,5.377640627557412e-05,1
4,75,5.456451253849082e-05,1
4,76,5.423816037364304e-05,1
4,77,5.4467393056256697e-05,1
4,78,5.474734280142002e-05,1
4,79,5.4532265494344756e-05,1
4,80,5.3318904974730685e-05,1
4,81,5.1299186452524737e-05,1
4,82,5.0304010073887184e-05,1
4,83,4.977819844498299e-05,1
4,84,4.9670041335048154e-05,1
4,85,4.991034438717179e-05,1
4,86,4.936342520522885e-05,1
4,87,4.9405738536734134e-05,1
4,88,4.83037147205323e-05,1
4,89,4.856883242609911e-05,1
4,90,4.83528601762373e-05,1
4,91,4.839386747335084e-05,1
4,92,4.823872586712241e-05,1
4,93,4.8054800572572276e-05,1
4,94,4.8267040256178007e-05,1
4,95,4.808983067050576e-05,1
4,96,4.754118708660826e-05,1
4,97,4.711924339062534e-05,1
4,98,4.669529153034091e-05,1
4,99,4.6143126382958144e-05,1
5,0,2.6430501748109236e-05,1
5,1,2.706312807276845e-05,1
5,2,2.7916879844269715e-05,1
5,3,2.8396698326105252e-05,1
5,4,2.892856537073385e-05,1
5,5,2.9995106160640717e-05,1
5,6,3.132987330900505e-05,1
5,7,3.214142634533346e-05,1
5,8,3.230894435546361e-05,1
5,9,3.19812934321817e-05,1
5,10,3.216815457562916e-05,1
5,11,3.201017898391001e-05,1
5,12,3.224204556318e-05,1
5,13,3.2054140319814906e-05,1
5,14,3.102210757788271e-05,1
5,15,3.0618117307312787e-05,1
5,16,3.020007352461107e-05,1
5,17,2.9889473807998e-05,1
5,18,2.9226841434137896e-05,1
5,19,2.855674574675504e-05,1
5,20,2.8885149731650017e-05,1
5,21,2.8273285352042876e-05,1
5,22,2.87825423583854e-05,1
5,23,2.8910948458360508e-05,1
5,24,2.8854890842922032e-05,1
5,25,2.860141648852732e-05,1
5,26,2.833765211107675e-05,1
5,27,2.8352491426630877e-05,1
5,28,2.880427746276837e-05,1
5,29,2.9036635169177316e-05,1
5,30,2.8544152883114293e-05,1
5,31,2.852599209290929e-05,1
5,32,2.8539176128106192e-05,1
5,33,2.8302150894887745e-05,1
5,34,2.757902620942332e-05,1
5,35,2.7316646082908846e-05,1
5,36,2.658169250935316e-05,1
5,37,2.5721490601426922e-05,1
5,38,2.531394420657307e-05,1
5,39,2.4953036700026132e-05,1
5,40,2.443093399051577e-05,1
5,41,2.430020504107233e-05,1
5,42,2.4543025574530475e-05,1
5,43,2.372931885474827e-05,1
5,44,2.2698568500345573e-05,1
5,45,2.2136036932352e-05,1
5,46,2.1968660803395323e-05,1
5,47,2.1664303858415224e-05,1
5,48,2.1037791157141328e-05,1
5,49,2.0762125132023357e-05,1
5,50,2.0840981960645877e-05,1
5,51,2.237501939816866e-05,1
5,52,2.3317070372286253e-05,1
5,53,2.405653322057333e-05,1
5,54,2.5382614694535732e-05,1
5,55,2.5914603611454368e-05,1
5,56,2.693739952519536e-05,1
5,57,2.8400374503689818e-05,1
5,58,2.9575965527328663e-05,1
5,59,3.110318721155636e-05,1
5,60,3.1746458262205124e-05,1
5,61,3.270472734584473e-05,1
5,62,3.358328467584215e-05,1
5,63,3.376877793925814e-05,1
5,64,3.467814531177282e-05,1
5,65,3.481181192910299e-05,1
5,66,3.479875158518553e-05,1
5,67,3.503742118482478e-05,1
5,68,3.5648830817081034e-05,1
5,69,3.6174456909066066e-05,1
